AN03	东莞市奥能工程塑胶有限公司
CQ03	东莞市塘厦创群五金塑胶制品厂
DC07	深圳市迪彩塑胶科技有限公司
DGZX031	深圳市丰兴通科技有限公司
FX05	常州富烯科技股份有限公司
HG03	皇冠(太仓)胶粘制品有限公司
HH09	东莞市华航新马金属有限公司
JC04	深圳市杰昌实业有限公司
JF03	东莞市金丰包装材料有限公司
JS22	广东劲胜智能集团股份有限公司
KBE01	垦柏恩复合材料（昆山）有限公司
KNF01	深圳凯纳方科技有限公司
KYCF01	深圳市凯洋创富科技有限公司
MX03	昆山明讯电子科技有限公司
NBQY01	宁波奇亿金属有限公司
NXJ001	惠州市诺信佳实业有限公司
PLS01	普莱斯(北京)科技有限公司
QT03	深圳市骐通胶粘制品有限公司
QTD01	深圳市畦田达科技有限公司
SXXY002	绍兴旭源新材料科技有限公司
XH06	东莞市协汇电子科技有限公司
YN01	苏州英诺复合材料有限公司
YXH01	广州市毅兴行塑胶原料有限公司
ZLD01	深圳市卓力达电子有限公司
ZLD02	南通卓力达金属科技有限公司
ZYX01	深圳市振远兴科技有限公司
AW02	上海安崴进出口有限公司
BW01	宁波博威合金材料股份有限公司
CXLD01	深圳市创新利达五金有限公司
DGGZ02	东莞市贵喆科技实业有限公司
DW03	东莞市达旺精密模具有限公司
FS03	东莞市方硕电子有限公司
FS05	丰山金属制品（深圳）有限公司
FY01	淮安富扬电子材料有限公司
GTM01	佛山固泰明科技有限公司
HLL01	深圳市亨利莱科技有限公司
HNC01	衡山县华诺诚新材高科有限公司
HS04	广东和胜工业铝材股份有限公司
HZF01	苏州汇之丰涂布科技有限公司
JM10	东莞市钧茂金属制品有限公司
LB08	深圳镭博万科技有限公司
MX04	东莞市萌讯机械有限公司
SDK10	江苏斯迪克新材料科技股份有限公司东莞分公司
SH17	南京硕禾新材料有限公司
XY14	东莞市橡友橡塑科技有限公司
YSQ01	深圳市永胜强金属制品有限公司
YY10	浙江耀阳新材料科技有限公司
YZ05	东莞市源展电子科技有限公司
ZJX01	深圳市中聚兴科技有限公司
ZT03	广州市增城中泰精密五金塑料制品厂
ZXDZ01	深圳市智兴电子应用材料有限公司
DG01	东莞达关胶粘制品有限公司
HDWE01	深圳市汉德维尔实业有限公司
HR10	广东和润新材料股份有限公司
HY16	苏州恒悦新材料有限公司
KDX03	张家港康得新光电材料有限公司
LED01	莱尔德电子材料（深圳）有限公司
LJ13	东莞市立景新材料科技有限公司
LJS01	东莞市洛加斯润滑油有限公司
LS13	深圳垒石热管理技术有限公司
MNSD04	明尼苏达矿业制造(上海)国际贸易有限公司（RMB）
RH05	深圳市睿华涂布科技有限公司
RK03	日矿金属(苏州)有限公司
SNGD01	东莞赛诺高德蚀刻科技有限公司
SYXC01	东莞市赛越新材料科技有限公司
TDS01	深圳泰得思科技有限公司
TZA01	东莞市天之奥金属材料有限公司
XL05	新纶科技（常州）有限公司
YG07	苏州岩谷金属制品有限公司
YXZD01	广东宇星众鼎精密科技有限公司
ZF05	上海赞富国际贸易有限公司
ZT05	东莞市政泰有机硅科技有限公司
ZX04	东莞市众鑫实业有限公司
CD01	东莞市创达塑胶制品有限公司
